Name
SQL
Python (Programming Language)
Data Visualization
Microsoft Excel
Microsoft Power BI
Tableau
R (Programming Language)
Business Analytics
Business Intelligence Tools
Microsoft SQL Server
Dashboard
Market Research
Solution Architecture
Risk Management
Quality Assurance
Troubleshooting
Communication
Teamwork
Team Collaboration
Cross-functional Collaborations
Leadership
Organization Skills
Presentation Skills
Business Intelligence (BI)
Personal Development
Action Learning
Adaptive Learning
Training
Training & Development
Project Management
Product Management
Databases
Data Mining
Data Modeling
Exploratory Data Analysis
Statistics
Statistical Modeling
Optimization Models
Correlation Analysis
Regression Analysis
Forecasting
Trend Analysis
Time Series Analysis
Predictive Analytics
Web Scraping
Natural Language Processing (NLP)
Business Analysis
Data Analysis
Data Analytics
Pivot Tables
